V1,V2,V3
-65.4258373205742,11.9832214765101,-4025.74755859375
-65.4090909090909,11.9832214765101,-4027.4375
-65.3923444976077,11.9832214765101,-4021.1875
-65.3755980861244,11.9832214765101,-4013.8076171875
-65.3588516746411,11.9832214765101,-4008.87744140625
-65.3421052631579,11.9832214765101,-4008.6875
-65.3253588516746,11.9832214765101,-4013.18994140625
-65.3086124401914,11.9832214765101,-4016.3701171875
-65.2918660287081,11.9832214765101,-4017.18994140625
-65.2751196172249,11.9832214765101,-3995.93994140625
-65.2583732057416,11.9832214765101,-3930.1201171875
-65.2416267942584,11.9832214765101,-3801.81005859375
-65.2248803827751,11.9832214765101,-3606.5
-65.2081339712919,11.9832214765101,-3367.75
-65.1913875598086,11.9832214765101,-3121.87744140625
-65.1746411483254,11.9832214765101,-2900.8076171875
-65.1578947368421,11.9832214765101,-2708.9375
-65.1411483253589,11.9832214765101,-2570.1875
-65.1244019138756,11.9832214765101,-2505.5576171875
-65.1076555023923,11.9832214765101,-2331.9375
-65.0909090909091,11.9832214765101,-2192.87744140625
-65.0741626794258,11.9832214765101,-2181.87744140625
-65.0574162679426,11.9832214765101,-2241.6875
-65.0406698564593,11.9832214765101,-2306.4375
-65.0239234449761,11.9832214765101,-2295.4375
-65.0071770334928,11.9832214765101,-2225.49755859375
-64.9904306220096,11.9832214765101,-2191.74755859375
-64.9736842105263,11.9832214765101,-2175.8076171875
-64.9569377990431,11.9832214765101,-2167.9375
-64.9401913875598,11.9832214765101,-2172.49755859375
-64.9234449760766,11.9832214765101,-2189.1201171875
-64.9066985645933,11.9832214765101,-2198.68994140625
-64.88995215311,11.9832214765101,-2144.75
-64.8732057416268,11.9832214765101,-2096.1201171875
-64.8564593301435,11.9832214765101,-2095.06005859375
-64.8397129186603,11.9832214765101,-2152.6201171875
-64.822966507177,11.9832214765101,-2266.43994140625
-64.8062200956938,11.9832214765101,-2440
-64.7894736842105,11.9832214765101,-2621.87744140625
-64.7727272727273,11.9832214765101,-2714.4375
-64.755980861244,11.9832214765101,-2710.9375
-64.7392344497608,11.9832214765101,-2478.4375
-64.7224880382775,11.9832214765101,-2416.99755859375
-64.7057416267943,11.9832214765101,-2099.9375
-64.688995215311,11.9832214765101,-1888.6875
-64.6722488038278,11.9832214765101,-1980.49755859375
-64.6555023923445,11.9832214765101,-2119.31005859375
-64.6387559808612,11.9832214765101,-2159.43994140625
-64.622009569378,11.9832214765101,-1981
-64.6052631578947,11.9832214765101,-1770.11999511719
-64.5885167464115,11.9832214765101,-1566.31005859375
-64.5717703349282,11.9832214765101,-1473.11999511719
-64.555023923445,11.9832214765101,-1432.31005859375
-64.5382775119617,11.9832214765101,-1371.56005859375
-64.5215311004785,11.9832214765101,-1218.25
-64.5047846889952,11.9832214765101,-1096
-64.488038277512,11.9832214765101,-1064.81005859375
-64.4712918660287,11.9832214765101,-1053.68994140625
-64.4545454545455,11.9832214765101,-1030.25
-64.4377990430622,11.9832214765101,-1024.43994140625
-64.421052631579,11.9832214765101,-1023.11999511719
